device ID,Location,gesture,lon,lat
1,1,1,-0.0062051,51.5099883
10,1,4,-0.0048514,51.5101171
12,1,5,-0.0044981,51.5098083
13,1,4,-0.0060508,51.5100639
15,1,2,-0.0048162,51.5099926
17,1,2,-0.0062859,51.5099462
18,1,4,-0.0063224,51.5099681
21,1,2,-0.004981,51.5103936
24,1,4,-0.0055282,51.5101393
3,1,2,-0.004766,51.5099574
5,1,3,#N/A,#N/A
7,1,2,-0.00460552,51.51014938
8,1,5,-0.00456259,51.51003404
9,1,2,-0.0048031,51.5098928
1,2,2,-0.0043177,51.5101631
10,2,3,#N/A,#N/A
12,2,2,-0.0031854,51.5105544
13,2,3,#N/A,#N/A
15,2,2,-0.0036322,51.5105106
17,2,2,-0.0035808,51.5104661
18,2,2,-0.0045334,51.5099976
21,2,2,-0.0030903,51.510531
24,2,4,-0.0045922,51.50993
3,2,2,-0.0031628,51.5105056
5,2,2,-0.0050502,51.5103894
7,2,4,-0.00311453,51.51043584
8,2,4,-0.00329499,51.51050438
9,2,3,#N/A,#N/A
1,3,3,#N/A,#N/A
10,3,3,#N/A,#N/A
12,3,3,#N/A,#N/A
13,3,4,-0.0030356,51.5109804
15,3,3,#N/A,#N/A
17,3,3,#N/A,#N/A
18,3,3,#N/A,#N/A
21,3,4,-0.0024613,51.5107857
24,3,4,-0.0035546,51.5115385
3,3,3,#N/A,#N/A
5,3,2,-0.0026809,51.5109042
7,3,2,-0.00279662,51.51095557
8,3,3,#N/A,#N/A
9,3,2,-0.0027933,51.5108969
1,4,3,#N/A,#N/A
10,4,3,#N/A,#N/A
12,4,3,#N/A,#N/A
13,4,5,-0.0036637,51.5113669
15,4,2,-0.0036176,51.511476
17,4,4,-0.0034919,51.510535
18,4,2,-0.003754,51.5113465
21,4,2,-0.0038068,51.5112853
24,4,2,-0.0047458,51.5118933
3,4,3,#N/A,#N/A
5,4,3,#N/A,#N/A
7,4,4,-0.00359659,51.51118471
8,4,3,#N/A,#N/A
9,4,4,-0.0040255,51.5116889
1,5,2,-0.0043177,51.5101631
10,5,4,-0.0044411,51.5108426
12,5,2,-0.0043043,51.5108275
13,5,4,-0.0035886,51.5114068
15,5,2,-0.0044036,51.5107599
17,5,5,-0.0034919,51.510535
18,5,4,-0.0040786,51.5108252
21,5,2,-0.0046318,51.5108301
24,5,2,-0.0047557,51.5118986
3,5,2,-0.0045132,51.5110784
5,5,3,#N/A,#N/A
7,5,4,-0.00430458,51.51086102
8,5,4,-0.00425206,51.51071183
9,5,2,-0.0044256,51.5109829
1,6,3,#N/A,#N/A
10,6,4,-0.0050936,51.5105436
12,6,3,#N/A,#N/A
13,6,3,#N/A,#N/A
15,6,5,-0.0052247,51.5106626
17,6,4,-0.0034919,51.510535
18,6,4,-0.0049987,51.5105853
21,6,2,-0.0050831,51.5108087
24,6,3,#N/A,#N/A
3,6,4,-0.0052653,51.5107211
5,6,4,-0.0049512,51.5107325
7,6,4,-0.00493848,51.51037332
8,6,5,-0.00483174,51.51031756
9,6,4,-0.0051514,51.5106358
